viajeid,title,tags
1,Paracas,Desayuno|Tour|Alojamiento|Costoso|Playa|Islas|ReservaNatural|AvesMarinas|IslasBallestas|ObservacionDeAves|Buceo|Navegacion|Kitesurf|Sandboarding
2,Arequipa,Desayuno|Tour|Alojamiento|Costoso|Volcanes|Historia|Cultura|PlazaDeArmas|MonasterioSantaCatalina|Museos|ArquitecturaColonial|Gastronomia|Canyoning
3,Huaraz,Desayuno|Tour|Alojamiento|Regular|Montañas|Trekking|Nieve|Lagunas|Caminatas|Alpinismo|AvistamientoDeAves|Camping|GastronomiaRegional
4,Trujillo,Desayuno|Tour|Alojamiento|Economico|Playa|Arqueologia|Cultura|ChanChan|HuacasDelSolYLaLuna|Museos|PlazaDeArmas|Gastronomia|PaseoEnBici
5,Iquitos,Desayuno|Tour|Alojamiento|Costoso|Selva|Amazonia|Fauna|Flora|ObservacionDeAves|ComunidadesNativas|Pesca|Caminatas|Artesania|PaseoEnCanoa
6,Tambopata,Desayuno|Tour|Alojamiento|Costoso|Selva|Amazonia|Fauna|Flora|ObservacionDeAves|Ecoturismo|Caminatas|Pesca|Camping|PaseoEnBote
7,Nazca,Desayuno|Tour|Alojamiento|Economico|Desierto|Arqueologia|LineasDeNazca|MiradorDeLosAndes|Acueductos|PaseoEnAvion|Museo|Gastronomia|Camping
8,Chachapoyas,Desayuno|Tour|Alojamiento|Regular|Montañas|Cascadas|Ruinas|Kuelap|SarcófagosKarajía|Caminatas|ObservacionDeAves|Gastronomia|Festival
9,Cajamarca,Desayuno|Tour|Alojamiento|Regular|Montañas|AguaTermal|Cultura|CatarataGocta|VentanillasDeOtuzco|PlazaDeArmas|Feria|Gastronomia|Artesania
10,Pisco,Desayuno|Tour|Alojamiento|Regular|Playa|Islas|ReservaNatural|IslasBallestas|ReservaParacas|Pesca|Buceo|Gastronomia|Sandboarding
11,Ollantaytambo,Desayuno|Tour|Alojamiento|Regular|Arqueologia|Montañas|Valles|TemploDelSol|PiedraDeLos12Angulos|Caminatas|ObservacionDeAves|Gastronomia|MercadoArtesanal
12,Colca,Desayuno|Tour|Alojamiento|Regular|Montañas|Trekking|Cultura|MiradorCruzDelCondor|AguasTermales|Caminatas|AvistamientoDeAves|Gastronomia|MercadoArtesanal
13,Huancayo,Desayuno|Tour|Alojamiento|Economico|Montañas|Cultura|Rural|FeriaDeHuancayo|LagunaDePaca|PaseoEnTren|Gastronomia|Artesania|Festival
14,Huanchaco,Desayuno|Tour|Alojamiento|Regular|Playa|Surf|Cultura|CaballitosDeTotora|ChanChan|Pesca|Gastronomia|PaseoEnBote|PaseoEnBici
15,Puerto Maldonado,Desayuno|Tour|Alojamiento|Regular|Selva|Amazonia|Fauna|Flora|ObservacionDeAves|Ecoturismo|Caminatas|Pesca|Canotaje|Gastronomia
16,Máncora,Desayuno|Tour|Alojamiento|Costoso|Playa|Surf|Fiesta|Buceo|KiteSurf|Pesca|Gastronomia|MercadoArtesanal|Festival
17,Tarma,Desayuno|Tour|Alojamiento|Regular|Montañas|Cascadas|Agricultura|FeriaDeTarma|CriaderoDeTruchas|Caminatas|ObservacionDeAves|Gastronomia|Artesania
18,Huaral,Desayuno|Tour|Alojamiento|Regular|Valle|Agricultura|PiscinasNaturales|DegustacionDePisco|Gastronomia|MercadoArtesanal
19,Chiclayo,Desayuno|Tour|Alojamiento|Regular|Playa|Arqueologia|Cultura|TumbasReales|MercadoDeBrujos|Gastronomia|CerveceriaArtesanal
20,Pucallpa,Desayuno|Tour|Alojamiento|Regular|Selva|Amazonia|Fauna|Flora|Artesania|Canotaje|Pesca|Gastronomia
